date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,42.08421052631579,25.989473684210527,407.57894736842104,29.210526315789473,47.60526315789474,60.68421052631579,0.4694736842105263,7.105263157894737,2.1315789473684212,,
2022-08-05,25.287499999999998,16.7375,355.25,27.179166666666664,39.725,41.375,0.29875,1.4583333333333333,1.0416666666666667,67.15789473684211,42.68421052631579
2022-08-06,29.46666666666667,18.979166666666668,330.4166666666667,24.070833333333336,36.6,46.333333333333336,0.2754166666666667,1.5,1.45625,60.666666666666664,35.458333333333336
2022-08-07,28.708333333333332,17.841666666666665,285.6666666666667,20.275000000000002,26.950000000000003,51.041666666666664,0.29791666666666666,1.7083333333333333,1.5687499999999999,65.20833333333333,39.083333333333336
2022-08-08,29.395833333333332,18.375,278.9166666666667,22.791666666666668,26.90833333333333,36.541666666666664,0.26625,0.875,0.3333333333333333,62.75,35.958333333333336
2022-08-09,33.21666666666666,20.208333333333332,232.70833333333334,16.191666666666666,23.295833333333334,47.208333333333336,0.2579166666666667,0.2916666666666667,0.9375,64.33333333333333,37.416666666666664
2022-08-10,42.291666666666664,23.383333333333336,170.41666666666666,10.258333333333335,12.191666666666668,49.041666666666664,0.4220833333333333,5.833333333333333,0.90625,73.04166666666667,51.375
2022-08-11,40.920833333333334,22.695833333333336,172.66666666666666,10.233333333333333,11.575000000000001,48.5,0.41124999999999995,6.458333333333333,0.5604166666666667,73.25,51.708333333333336
2022-08-12,40.4125,21.891666666666666,186.5,11.845833333333333,14.512500000000001,40.5,0.46208333333333335,7.291666666666667,1.3979166666666665,71.75,48.75
2022-08-13,41.358333333333334,21.9875,208.375,13.529166666666667,18.162499999999998,44.75,0.6054166666666666,11.666666666666666,1.7458333333333333,70.79166666666667,47.125
